Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
vb_FNS_Beverly_BMX_Park,POI,POIName,,x,Beverly BMX Park by FNS,,,,,,,,,,,,,
vb_FNS_Brown_Trousers_Well,POI,POIName,,x,Brown_Trousers_Well by FNS,,,,,,,,,,,,,
vb_FNS_Castle_Parkour,POI,POIName,,x,Castle Parkour by FNS,,,,,,,,,,,,,
vb_FNS_Christmas_Day_Massacre,POI,POIName,,x,Christmas Day Massacre by FNS,,,,,,,,,,,,,
vb_FNS_entrance_VerySmallSinkhole,POI,POIName,,x,Very Small Sinkhole by FNS,,,,,,,,,,,,,
vb_FNS_Exham_Priory,POI,POIName,,x,Exham Priory by FNS,,,,,,,,,,,,,
vb_FNS_Flooded_Sepulcher,POI,POIName,,x,Flooded Sepulcher by FNS,,,,,,,,,,,,,
vb_FNS_Gas_Water_Power,POI,POIName,,x,Gas Water Power by FNS,,,,,,,,,,,,,
vb_FNS_Goblin-Os_Factory,POI,POIName,,x,Goblin-O's Factory by FNS,,,,,,,,,,,,,
vb_FNS_Hamilton_Greenbelt,POI,POIName,,x,Hamilton Greenbelt by FNS,,,,,,,,,,,,,
vb_FNS_Hestias_Hot_Spring,POI,POIName,,x,Hestia's Hot Spring by FNS,,,,,,,,,,,,,
vb_FNS_House_of_Shadows,POI,POIName,,x,House of Shadows by FNS,,,,,,,,,,,,,
vb_FNS_Ipswich_Quarry_Stockpile,POI,POIName,,x,Ipswich Quarry by FNS,,,,,,,,,,,,,
vb_FNS_Johns_Johns,POI,POIName,,x,John's Johns by FNS,,,,,,,,,,,,,
vb_FNS_Latte_Ladies,POI,POIName,,x,Latte Ladies by FNS,,,,,,,,,,,,,
vb_FNS_Mikeys_Mines,POI,POIName,,x,Mikey's Mines by FNS,,,,,,,,,,,,,
vb_FNS_Old_Brick_Schoolhouse,POI,POIName,,x,Old Brick Schoolhouse by FNS,,,,,,,,,,,,,
vb_FNS_Paddys_Pumpkin_Patch,POI,POIName,,x,Paddys Pumpkin Patch by FNS,,,,,,,,,,,,,
vb_FNS_Peggys_Petting_Zoo,POI,POIName,,x,Peggys Petting Zoo by FNS,,,,,,,,,,,,,
vb_FNS_Rekt_Boyhood_Home,POI,POIName,,x,Rekt's Boyhood Home by FNS,,,,,,,,,,,,,
vb_FNS_Sinking_Suspicion,POI,POIName,,x,Sinking Suspicion by FNS,,,,,,,,,,,,,
vb_FNS_Spook_Central,POI,POIName,,x,Spook Central by FNS,,,,,,,,,,,,,
vb_FNS_The_Gauntlet,POI,POIName,,x,The Gauntlet by FNS,,,,,,,,,,,,,
vb_FNS_The_Voke,POI,POIName,,x,The Voke by FNS,,,,,,,,,,,,,
vb_FNS_The_Winchester,POI,POIName,,x,The Winchester by FNS,,,,,,,,,,,,,
vb_FNS_They_All_Float_Down_Here,POI,POIName,,x,They All Float Down Here by FNS,,,,,,,,,,,,,
vb_FNS_UneedaMedicalSupply,POI,POIName,,x,Uneeda Medical Supply by FNS,,,,,,,,,,,,,
vb_FNS_Wenham_Fish_and_Game,POI,POIName,,x,Wenham Fish and Game by FNS,,,,,,,,,,,,,
vb_Swope25_Abandoned_Bunker,POI,POIName,,x,Abandoned Bunker by Swope25,,,,,,,,,,,,,
vb_FNS_Eclipse_Bunker,POI,POIName,,x,Eclipse Bunker by FNS,,,,,,,,,,,,,
vb_FNS_Queen_Hive,POI,POIName,,x,Hadley's Hope by FNS,,,,,,,,,,,,,
vb_FNS_Redcrown_Residence,POI,POIName,,x,Redcrown Residence by FNS,,,,,,,,,,,,,
vb_FNS_Sloped_Cave,POI,POIName,,x,Sloped Cave by FNS,,,,,,,,,,,,,
vb_FNS_Spiral_Cave,POI,POIName,,x,Spiral Cave by FNS,,,,,,,,,,,,,
