Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese


armorTactiGirlsLightArmor,items,Item,,,"TactiGirls Light Armors [e38d23](MS)","戰術女郎輕型護甲 [e38d23](MS)"
armorTactiGirlsMediumArmor,items,Item,,,"TactiGirls Medium Armors [e38d23](MS)","戰術女郎中型護甲 [e38d23](MS)"


armorFemaleCoyoteHelmet,items,Clothes,,,"Coyote Bandana [e38d23](MS)","郊狼頭巾 [e38d23](MS)"
armorFemaleCoyoteOutfit,items,Clothes,,,"Coyote Outfit [e38d23](MS)","郊狼服裝 [e38d23](MS)"
armorFemaleCoyoteGloves,items,Clothes,,,"Coyote Gloves [e38d23](MS)","郊狼手套 [e38d23](MS)"
armorFemaleCoyoteBoots,items,Clothes,,,"Coyote Boots [e38d23](MS)","郊狼靴子 [e38d23](MS)"

armorFemaleCoyoteHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou are the best at removing unnecessary body parts with a Shotgun, and you can do it from very far away.\n\n[e38d23]Bandana Bonus:[-] Increase Range and Handling with Shotguns.\n\n[e38d23]Full Set Bonus:[-] Gain HP and extra XP with every kill using shotguns.","[e38d23]輕型護甲[-]\n\n用霰彈槍移除多餘的身體部位，你是箇中好手，而且還能在極遠的距離辦到。\n\n[e38d23]頭巾加成：[-] 提升霰彈槍的射程與操控。\n\n[e38d23]全套加成：[-] 用霰彈槍每次擊殺都回復生命值並獲得額外經驗值。"
armorFemaleCoyoteOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou always go for 'close & personal' and know how to take a beating. 'Shotgun to the Face' for the Win!.\n\n[e38d23]Outfit Bonus:[-] Increase Max Health.\n\n[e38d23]Full Set Bonus:[-] Gain HP and extra XP with every kill using shotguns.","[e38d23]輕型護甲[-]\n\n你總是選擇「近身肉搏」，而且很能挨打。「一臉霰彈」就是致勝關鍵！\n\n[e38d23]服裝加成：[-] 提升最大生命值。\n\n[e38d23]全套加成：[-] 用霰彈槍每次擊殺都回復生命值並獲得額外經驗值。"
armorFemaleCoyoteGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nIt does not matter if they hit you if you hit them harder.\n\n[e38d23]Gloves Bonus:[-] Increase DMG with Shotguns.\n\n[e38d23]Full Set Bonus:[-] Gain HP and extra XP with every kill using shotguns.","[e38d23]輕型護甲[-]\n\n只要你打得更狠，他們打到你也無所謂。\n\n[e38d23]手套加成：[-] 提升霰彈槍的傷害。\n\n[e38d23]全套加成：[-] 用霰彈槍每次擊殺都回復生命值並獲得額外經驗值。"
armorFemaleCoyoteBootsDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nWho needs a big magazine when you can Reload this fast?.\n\n[e38d23]Boots Bonus:[-] Faster Reload with Shotguns.\n\n[e38d23]Full Set Bonus:[-] Gain HP and extra XP with every kill using shotguns.","[e38d23]輕型護甲[-]\n\n裝填這麼快，誰還需要大彈匣？\n\n[e38d23]靴子加成：[-] 加快霰彈槍的裝填速度。\n\n[e38d23]全套加成：[-] 用霰彈槍每次擊殺都回復生命值並獲得額外經驗值。"


