Key,File,Type,UsedInMainMenu,NoTranslate,english,tchinese

armorResidentEvilLightArmor,items,Item,,,"Resident Evil Light Armors [e38d23](MS)","惡靈古堡輕型護甲 [e38d23](MS)"
armorResidentEvilMediumArmor,items,Item,,,"Resident Evil Medium Armors [e38d23](MS)","惡靈古堡中型護甲 [e38d23](MS)"
armorResidentEvilMediumArmor,items,Item,,,"Resident Evil Heavy Armors [e38d23](MS)","惡靈古堡重型護甲 [e38d23](MS)"


armorFemaleAdaWongHelmet,items,Clothes,,,"Ada Wong Choker [e38d23](MS)","艾達·王頸圈 [e38d23](MS)"
armorFemaleAdaWongOutfit,items,Clothes,,,"Ada Wong Dress [e38d23](MS)","艾達·王洋裝 [e38d23](MS)"
armorFemaleAdaWongGloves,items,Clothes,,,"Ada Wong Bangles [e38d23](MS)","艾達·王手環 [e38d23](MS)"
armorFemaleAdaWongBoots,items,Clothes,,,"Ada Wong Shoes [e38d23](MS)","艾達·王鞋子 [e38d23](MS)"

armorFemaleAdaWongHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou can be very charming, or very intimidating, depending on the situation.\n\n[e38d23]Choker Bonus:[-] Much Better Buy & Sell Prices.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n你能很迷人，也能很嚇人，端看當下情況。\n\n[e38d23]頸圈加成：[-] 買賣價格大幅優惠。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"
armorFemaleAdaWongOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nNobody will notice you in this flashy red dress\n\n[e38d23]Dress Bonus:[-] Improved Stealth.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n穿著這身搶眼的紅洋裝，沒人會注意到你\n\n[e38d23]洋裝加成：[-] 提升潛行。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"
armorFemaleAdaWongGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou know how to kill fast and quiet.\n\n[e38d23]Bangles Bonus:[-] Increase DMG with any Silenced Gun.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection.","[e38d23]輕型護甲[-]\n\n你懂得迅速而無聲地殺人。\n\n[e38d23]手環加成：[-] 提升所有消音槍械的傷害。\n\n[e38d23]全套加成：[-] 降低重傷與感染的機率。"
