Key,File,Type,UsedInMainMenu,NoTranslate,english

armorResidentEvilLightArmor,items,Item,,,"Resident Evil Light Armors [e38d23](MS)"
armorResidentEvilMediumArmor,items,Item,,,"Resident Evil Medium Armors [e38d23](MS)"
armorResidentEvilMediumArmor,items,Item,,,"Resident Evil Heavy Armors [e38d23](MS)"


armorFemaleAdaWongHelmet,items,Clothes,,,"Ada Wong Choker [e38d23](MS)"
armorFemaleAdaWongOutfit,items,Clothes,,,"Ada Wong Dress [e38d23](MS)"
armorFemaleAdaWongGloves,items,Clothes,,,"Ada Wong Bangles [e38d23](MS)"
armorFemaleAdaWongBoots,items,Clothes,,,"Ada Wong Shoes [e38d23](MS)"

armorFemaleAdaWongHelmetDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou can be very charming, or very intimidating, depending on the situation.\n\n[e38d23]Choker Bonus:[-] Much Better Buy & Sell Prices.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection."
armorFemaleAdaWongOutfitDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nNobody will notice you in this flashy red dress\n\n[e38d23]Dress Bonus:[-] Improved Stealth.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection."
armorFemaleAdaWongGlovesDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYou know how to kill fast and quiet.\n\n[e38d23]Bangles Bonus:[-] Increase DMG with any Silenced Gun.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection."
armorFemaleAdaWongBootsDesc,items,Clothes,,,"[e38d23]Light Armor[-]\n\nYears of practice taught you how to move fast on heels.\n\n[e38d23]Shoes Bonus:[-] Increase Run Speed.\n\n[e38d23]Full Set Bonus:[-] Reduced % of Critical Injuries & Infection."


armorFemaleJillValentineHelmet,items,Clothes,,,"Jill Valentine Pistols [e38d23](MS)"
armorFemaleJillValentineOutfit,items,Clothes,,,"Jill Valentine Outfit [e38d23](MS)"
armorFemaleJillValentineGloves,items,Clothes,,,"Jill Valentine Elbow Pad [e38d23](MS)"
